region_id	98JKPD8_lumA_fps	ANAB5F7_basal_fps	S6R691V_her2_fps	PU24GB8_lumB_fps	2GAMBDQ_norm_fps
chr1:977015-977026	3.0499263836849635	1.1244320002696628	1.8544227596846425	3.187029564238313	3.8493311925614804
chr1:977047-977058	2.3440881446546533	0.8157372286973136	1.2648796764507635	2.4993937143333946	3.0762391789046473
chr1:1019832-1019843	1.1994088274344725	0.7778460780147957	0.7482786049707121	1.1138728229520154	0.9455246193600332
chr1:1020018-1020029	1.4637915334842837	1.197334444751057	1.1913765722988292	1.4543400506599318	1.134522042322205
chr1:2050440-2050451	1.1898870476414443	1.0339268350612916	1.1855676157066692	1.1147825145116197	0.9964962451411725
chr1:2586487-2586498	5.315367598374023	4.5884468200951005	5.143018310421248	4.85261416376988	5.597087879460955
chr1:3857731-3857742	1.005455014633433	0.8507161645536772	0.6913112238453243	0.572848929403329	0.7030740572563241
chr1:5992404-5992415	3.165640216084985	2.6360332847562753	2.8093030049561327	3.031047784818156	3.0790560319083413
chr1:7784244-7784255	3.066710537896403	2.2718122838319186	2.340955879713229	2.9824702555352847	2.9523311807064165
chr1:9129301-9129312	8.160507677750497	7.93001918545201	9.110535662866559	7.87536760107516	7.896578881476933
chr1:12595907-12595918	2.163593932442403	0.9404770970842534	1.5368114569212554	1.9098832606577971	2.2350061497298697
chr1:15526964-15526975	1.0578409421049069	0.5686519796693831	0.72223731661154	0.6398931973461687	0.39895453475030257
chr1:16206501-16206512	1.2950139520004034	1.936130988203874	1.6650705780413346	2.0892137901077987	2.121426612545186
chr1:16206596-16206607	2.2201436212470993	2.810377879015376	2.612920665618904	3.0518190754291217	3.1874378046219225
chr1:16644805-16644816	2.068666629488857	1.864846440848121	1.4538687983070613	1.6073804940373682	2.0776983230592614
chr1:16914053-16914064	4.9228766075834365	5.026767509373827	4.368380746682633	4.841030757910919	5.271003610318982
chr1:16914066-16914077	4.773659021199811	4.773145955958305	4.129223363348589	4.218862377245526	4.507133436852816
chr1:16914127-16914138	4.8635188006702865	4.561266148384328	3.6880397112610708	3.667286061605429	4.109286484045291
chr1:20486233-20486244	1.331648596288834	0.07017787525931626	0.7060646533720036	0.6508094960614207	0.7174601279537641
chr1:21345682-21345693	1.7726199709747725	1.4041987712355464	1.2354058228325877	1.6465578772043283	1.7276037354572251
chr1:21783248-21783259	5.477722013150064	4.3670861353648665	4.46865125876776	4.928239855424988	4.873659666976403
chr1:26035717-26035728	1.0187209519043976	0.8496807103932669	0.6560614190701715	0.6516585415170514	0.7166553128098513
chr1:26234047-26234058	5.691655424906644	5.255020435859294	4.7705849798193505	5.1107543053336055	5.172883230690289
chr1:26472734-26472745	0.894550487959382	1.086152554276991	1.265671806895149	0.857188187883658	0.8077000259649786
chr1:26692636-26692647	1.2575723772210383	1.1435879022372548	1.0944726146023411	0.9354519850616179	0.7409674369488818
chr1:26890342-26890353	1.3627961132389097	1.096086442628428	0.9160122265693335	1.0665991849045764	1.075669934923587
chr1:27557424-27557435	1.2516010915881224	1.3804480414311329	0.8426411441581301	1.0401271605200904	1.5993363218961343
chr1:27914562-27914573	2.4935639487953782	2.605293239369092	2.142065127302113	2.1532863989559314	2.3785315170609724
chr1:28887015-28887026	2.1728252172586946	2.295595371578845	1.916902048485546	2.15234638434434	2.2181050317077022
chr1:32073229-32073240	3.84514024389119	4.732342590449633	4.026048372967383	3.8253904546646633	3.728910726653539
chr1:32394556-32394567	6.2720966656457176	5.388691096379772	6.3508852163683445	6.130700481961988	6.580873791001274
chr1:36306915-36306926	1.222745257232301	1.4815018958986848	1.718704410213267	1.3220708978934612	1.8947034797121052
chr1:39788848-39788859	0.5353695878345746	0.8241179358081352	0.728904414518451	0.7774385611583445	1.1288548023504863
chr1:40450135-40450146	1.5669495274453626	2.86185936555328	1.6388312570710661	1.7446226273296759	1.9815564473260199
chr1:43389950-43389961	2.171921455108848	1.912671479882076	2.1082345562398173	1.914128487935951	2.093023344757933
chr1:45339941-45339952	0.9132712753490647	1.2471980341633202	0.9095431612735188	0.9376049217526814	0.8755392358039554
chr1:51236490-51236501	1.3592456190787974	1.0026690625939028	0.6270496415445539	0.8862073486350365	0.9322451694854729
chr1:54715798-54715809	1.5985812026899984	1.9759312574946484	1.1305475552570623	1.3664031998981792	1.5412554956770992
chr1:66930543-66930554	1.1417939903817422	1.0267110138809314	0.7618108333956303	0.8611605076939304	1.2506836947602753
chr1:77683026-77683037	2.327239436003939	2.2361538311827855	1.727681888582969	2.180607468796048	2.071293335872289
chr1:84574491-84574502	1.9292613178749962	1.905099721334075	1.2981821605501354	1.505222131893801	1.912308810985196
chr1:85201747-85201758	2.683676772459569	2.1540293730852365	2.0553268436419048	2.3398944608827676	2.555389644935794
chr1:87328321-87328332	1.0656197520375166	2.1597243709674934	1.2229297683335167	1.0393084381164466	2.0101609188992517
chr1:91022142-91022153	2.4729065282274525	2.5268899446605166	2.151867741551383	2.0934590173859524	2.7088410657084876
chr1:91500839-91500850	0.8421968377075455	1.2987765945287628	0.5942422389729227	1.08339815570527	0.923056863259136
chr1:95117317-95117328	1.1358227047488263	0.9929616798400552	0.4681614765749035	0.7321055984380617	0.559246884246254
chr1:96721610-96721621	0.7569527006452146	1.2668716632111177	0.45271493290938714	0.5233010624568795	0.5367120602166976
chr1:108747080-108747091	1.3775790798328316	1.3248570961940997	0.9289503571609625	1.052256381314815	1.0733896253491675
chr1:109100140-109100151	3.1800681332628953	3.400295528966686	2.4672676801575273	3.0101248789472557	2.8977378867776697
chr1:113929689-113929700	1.331035329115724	1.3266044250897924	0.9312937430589362	1.0062259883988354	1.5615100101322363
chr1:120558301-120558312	0.920533649767476	1.3767592359846708	1.1328249302846705	0.7946014085828796	0.5362425847160819
chr1:120723809-120723820	2.762207247837324	2.7359869691783913	1.52077081542245	1.6693304892464234	2.157609760056929
chr1:120851059-120851070	1.0762066800785786	0.3680650940323819	0.5005398084891591	0.3128287586164226	0.4239373381759268
chr1:143884643-143884654	0.8276398116510854	1.165364797548386	0.7449450560172565	0.621214197322293	1.1063535122852597
chr1:144461640-144461651	1.723978200981235	1.4269464048220621	1.6819693608548911	1.1831003506379052	1.4767361483067623
chr1:144546709-144546720	2.305645976066529	1.4227722302379078	3.001757697506617	2.2663004137107765	2.153853956052003
chr1:147599526-147599537	1.582797642287318	1.3478635933207181	0.8912581501822877	0.8062151374938283	0.9196028649331773
chr1:149636384-149636395	0.3737252718905563	0.8052532553231583	0.6835879520125661	0.30009307678196195	1.0756028669949276
chr1:150364650-150364661	1.2386579265135311	1.4852554172301726	1.176359099290688	1.2199125357498941	1.332271829974428
chr1:151790769-151790780	2.7838975394336454	3.2147874445406606	2.557900605169297	2.617653617081958	2.7371101976384216
chr1:151993870-151993881	1.4070481813617628	2.203245803647243	1.4236028142445	1.6260594940612436	1.5195590207557854
chr1:154936570-154936581	3.7654800658261265	2.5243983830870294	2.607837828600764	2.3607870437016807	2.9818410693165496
chr1:155005688-155005699	1.9311333966139645	0.9017769978389149	1.4322502382623745	1.3792298508886005	1.2384773317442657
chr1:155050511-155050522	0.6550857954696313	1.0255461279504698	0.6566225114682778	0.7629441423086487	0.6628333000606879
chr1:155244674-155244685	6.1271719494738655	6.7691132819193935	4.649785087050567	4.893307699536181	5.028083572714658
chr1:159945627-159945638	1.6189481282811877	2.781417520466398	2.065591533983733	1.4342055441406891	1.4180852446941226
chr1:161039003-161039014	1.5633344788459755	1.9738927071163408	1.2312801434347467	1.207419438331328	1.8388694291031595
chr1:161390132-161390143	5.590982776857644	5.292717438886734	4.61714271165485	4.752820999681285	4.669370756279889
chr1:165393090-165393101	0.6164176863440455	1.5048643303929443	0.34175065982505703	0.35403778626649907	1.0330818002248718
chr1:167220697-167220708	8.896880166557773	9.150140123783096	9.125652152180248	8.522431207421725	8.692708728628268
chr1:175000249-175000260	0.9806338327322848	1.353073222065283	0.999879037368644	0.7954201309865235	1.1110147333270877
chr1:175193123-175193134	1.647481190440635	0.7743190622808979	1.2462976164428878	1.4951852016861664	2.2858436396536903
chr1:180632001-180632012	6.604487473471497	6.922975298567876	6.54251477303926	5.661997067401847	6.475845414720663
chr1:180953661-180953672	0.15627364319350126	1.3046980980086098	0.04328250946765207	0.0005619692562404553	0.5460009683360236
chr1:180954115-180954126	0.896228903380526	1.0029602840765182	0.3684850623230663	0.7331365822056133	0.898174661726501
chr1:181105228-181105239	1.1033840990132555	1.2001819436921854	1.2131601595194292	1.1497449934524129	1.1770095751279313
chr1:201469320-201469331	1.081145094683098	0.9204475306688148	0.5278683088204575	0.8429666765018436	1.2792210984048473
chr1:202010319-202010330	4.236275591457007	3.559270100532194	3.4529419964545016	3.7104054415306753	3.319662225973917
chr1:203290569-203290580	2.5629922482353904	1.6858746608096866	1.7861015088563965	2.1063159914283607	2.7971359937885794
chr1:203626615-203626626	1.1201359760050578	0.6605808943483185	0.887594546877005	0.8747755580360087	1.1633612516457446
chr1:203861421-203861432	5.403581239642994	5.732267729980947	4.709194870379478	4.637168879403586	5.16282304139138
chr1:204573388-204573399	1.6593914844868298	-0.20457341461707948	2.3477880047960533	1.0241772351750276	1.4714713159069999
chr1:205631845-205631856	0.9395449321338951	0.7119329491161714	0.6224618860541548	0.853185545021399	1.1492099186986124
chr1:205775417-205775428	1.0541936162858825	1.4586895464271432	1.0700155871319401	0.9942787059160317	1.1903896268954801
chr1:206635363-206635374	2.959550168700289	3.229510308383996	2.557900605169297	2.29071047056016	3.1073251638382757
chr1:206909557-206909568	3.0591899457208926	2.6193365864196583	3.1918690041591273	3.2292089295519677	3.733605481659696
chr1:207751839-207751850	4.048454450387069	4.268685632183366	4.64605547287492	3.6560665323703088	4.123136011313456
chr1:209784785-209784796	1.0898922212048292	1.2746699273567084	0.9976676732114013	1.2210041656214194	0.8245340760584865
chr1:211259198-211259209	2.969878878984251	3.222876930168867	2.656487840060104	2.7717856903309195	2.6184334978756247
chr1:211515670-211515681	1.2932387049203475	1.7804892847171863	1.0246331137556897	1.2039322873528446	1.4888754433941127
chr1:212608325-212608336	1.498199049617735	2.021458882610193	1.5608724191694638	1.0811239268062591	1.3007499035045127
chr1:219173803-219173814	1.8224559980948931	2.1580741158993395	1.2198602628615232	1.391844240515114	1.8847774262705146
chr1:221742855-221742866	4.15209660264271	3.425275860586586	4.7226940933692125	3.651881951196129	3.226873746673646
chr1:221742870-221742881	4.15209660264271	3.425275860586586	4.7226940933692125	3.651881951196129	3.226873746673646
chr1:222712184-222712195	1.4488794580118123	1.881575497127251	1.4973369564427135	1.1710014528951678	1.2502812871883189
chr1:225653419-225653430	2.125990971564851	1.5059968583808931	1.2513474480258453	1.2155156932118067	1.5637232517779962
chr1:226062044-226062055	1.2793917776959098	1.1733248514065409	0.6483381472374131	0.8631921521770466	0.9152769835346464
chr1:227728549-227728560	2.3653588323956893	2.5539735425437518	1.4304349393273248	1.6127779972910208	2.036116207290437
chr1:228109109-228109120	1.096186279034119	1.0523061464085761	0.8584177421754738	0.6803441486965749	0.6997206608233544
chr1:228486862-228486873	2.8270844593084656	1.9411464692933615	1.873895966442452	2.045609241350764	2.0951359845107036
chr1:229508404-229508415	3.533051807217325	3.758595026411195	2.8812218482192957	2.9387140915183156	3.1788866437178496
chr1:230426443-230426454	1.8196156027668033	2.0720019888152255	1.0876404895195166	1.2563001981340676	0.9962615073908645
chr1:234610244-234610255	4.467283652401763	4.0628891178018	3.5839075632595647	4.763130837356801	3.5685848431932574
chr1:243850287-243850298	0.48395197695222203	1.2035795276560322	0.33693186628837896	0.3678954210244718	1.3169468082757563
