TFBS_chr	TFBS_start	TFBS_end	TFBS_strand	TFBS_score	98JKPD8_LumA_score	ANAB5F7_Basal_score	S6R691V_Her2_score	PU24GB8_LumB_score	2GAMBDQ_Normal-like_score
chr1	1408226	1408240	-	10.50096	0.04642	0.07348	0.07515	0.05548	0.0527
chr1	1614368	1614382	-	7.73558	0.1304	0.09711	0.15445	0.11927	0.08427
chr1	1862172	1862186	-	8.94664	0.02823	0.01877	0.04346	0.03227	0.03272
chr1	2004903	2004917	-	8.94664	0.01527	0.02344	0.01606	0.03225	0.01824
chr1	2189282	2189296	-	9.87211	0.1268	0.13846	0.16564	0.17118	0.11493
chr1	3808329	3808343	+	9.05809	0.01311	0.00947	0.01062	0.01196	0.01242
chr1	3922337	3922351	-	8.34064	0.01139	0.02301	0.02185	0.0306	0.01276
chr1	4840156	4840170	-	10.42887	0.0049	0.00879	0.00356	0.00423	0.00711
chr1	5622652	5622666	+	7.70059	0.00848	0.00931	0.00856	0.0136	0.0177
chr1	5968551	5968565	-	9.27834	0.01452	0.022	0.01232	0.01353	0.01166
chr1	6295398	6295412	+	7.80852	0.01969	0.04745	0.02415	0.01532	0.0194
chr1	6753492	6753506	-	7.98541	0.00786	0.01558	0.00669	0.00913	0.01208
chr1	7078222	7078236	-	7.81349	0.00515	0.00573	0.00654	0.00388	0.00659
chr1	7863164	7863178	+	8.50381	0.00703	0.01292	0.00797	0.00895	0.00795
chr1	8106724	8106738	+	7.77885	0.0165	0.01794	0.01664	0.01563	0.01964
chr1	8175024	8175038	-	9.29746	0.04248	0.0546	0.032	0.04156	0.0452
chr1	8218837	8218851	-	9.02589	0.07522	0.12179	0.08623	0.08971	0.11047
chr1	8449754	8449768	+	7.9246	0.03283	0.02117	0.03059	0.03522	0.03176
chr1	8889300	8889314	-	9.06577	0.09011	0.23774	0.12458	0.0803	0.13021
chr1	9061556	9061570	-	9.19965	0.01695	0.02577	0.01977	0.021	0.02573
chr1	9074989	9075003	+	7.94998	0.01633	0.0174	0.02187	0.02908	0.01262
chr1	9276617	9276631	-	8.94664	0.01541	0.04745	0.02501	0.02071	0.02397
chr1	9328925	9328939	-	7.74805	0.02238	0.03887	0.02852	0.02325	0.02641
chr1	9454892	9454906	-	8.89206	0.03431	0.03019	0.0433	0.05198	0.0289
chr1	9554063	9554077	-	9.2538	0.02046	0.00807	0.03103	0.02272	0.0144
chr1	9571108	9571122	+	10.13738	0.04122	0.01692	0.04508	0.07297	0.01424
chr1	9699649	9699663	+	9.99124	0.01165	0.04484	0.01352	0.0085	0.01324
chr1	9776159	9776173	-	7.74271	0.02989	0.03151	0.04948	0.0313	0.02511
chr1	9798673	9798687	-	9.04692	0.02942	0.04142	0.02166	0.02708	0.04711
chr1	10006554	10006568	+	8.71663	0.03499	0.12404	0.02218	0.04257	0.02711
chr1	10078705	10078719	-	8.0659	0.01259	0.00814	0.01513	0.01547	0.01672
chr1	10083261	10083275	+	7.55492	0.0214	0.01883	0.01562	0.01973	0.01438
chr1	10191862	10191876	-	9.06577	0.02113	0.01794	0.01345	0.01585	0.01629
chr1	10359983	10359997	-	8.94664	0.01273	0.01466	0.01214	0.01314	0.01368
chr1	10577644	10577658	+	8.38468	0.01687	0.01044	0.01485	0.02353	0.03006
chr1	10686853	10686867	-	7.79897	0.1542	0.0276	0.08436	0.08972	0.10633
chr1	10986308	10986322	+	9.29746	0.02344	0.08736	0.01241	0.01616	0.01881
chr1	11176339	11176353	+	8.19845	0.0158	0.01972	0.01755	0.01369	0.01905
chr1	11318372	11318386	+	9.87211	0.01444	0.05275	0.0247	0.01434	0.01819
chr1	11532527	11532541	-	10.19368	0.00551	0.01276	0.00681	0.00929	0.01291
chr1	11753328	11753342	+	9.99124	0.02249	0.03322	0.0214	0.02449	0.03628
chr1	11907712	11907726	+	9.28927	0.14709	0.13573	0.11756	0.1794	0.21573
chr1	12308702	12308716	+	8.94664	0.02468	0.04201	0.01245	0.01854	0.02108
chr1	12676762	12676776	-	8.37062	0.0156	0.01392	0.0078	0.00889	0.01374
chr1	12679130	12679144	+	9.98356	0.0079	0.0231	0.00911	0.01142	0.01622
chr1	13456368	13456382	+	9.87211	0.01044	0.00844	0.01019	0.00976	0.01022
chr1	13723970	13723984	-	7.70635	0.04006	0.23734	0.04868	0.05115	0.0532
chr1	13808976	13808990	-	8.9742	0.02761	0.01809	0.01797	0.02164	0.01888
chr1	13929479	13929493	-	8.0901	0.01989	0.01048	0.00875	0.02594	0.01677
chr1	14069287	14069301	+	9.50343	0.02146	0.00726	0.00926	0.02446	0.01572
chr1	14372396	14372410	-	7.5564	0.03127	0.00895	0.02021	0.02441	0.0256
chr1	14453008	14453022	+	8.94664	0.01062	0.0082	0.00917	0.01085	0.01848
chr1	14713230	14713244	-	9.16299	0.01736	0.03322	0.00816	0.01778	0.03448
chr1	14766315	14766329	-	8.64234	0.01176	0.02165	0.01016	0.0091	0.01925
chr1	14780494	14780508	-	8.3617	0.01914	0.01819	0.01474	0.00917	0.0273
chr1	14790055	14790069	+	9.06577	0.03472	0.16336	0.02817	0.04058	0.06175
chr1	14826211	14826225	-	8.79157	0.02472	0.02341	0.03224	0.02828	0.0346
chr1	14956689	14956703	+	8.41997	0.08212	0.25653	0.05489	0.06346	0.09989
chr1	15028524	15028538	-	8.85884	0.01255	0.04072	0.02312	0.02232	0.01891
chr1	15123635	15123649	-	9.5329	0.01873	0.00952	0.0098	0.00892	0.01463
chr1	15123884	15123898	-	7.58619	0.01651	0.01215	0.01143	0.01067	0.00956
chr1	15411858	15411872	+	8.05474	0.07508	0.06882	0.09025	0.09951	0.05342
chr1	15583507	15583521	-	8.40225	0.01776	0.02287	0.01685	0.01733	0.0168
chr1	15618881	15618895	-	8.43088	0.26497	0.16305	0.29071	0.31797	0.23776
chr1	15719900	15719914	-	8.30617	0.02088	0.03398	0.02052	0.0141	0.02709
chr1	16057528	16057542	-	8.51194	0.04032	0.03274	0.05613	0.04109	0.02628
chr1	16409632	16409646	+	7.81659	0.01861	0.01378	0.01884	0.01518	0.0279
chr1	16645566	16645580	-	8.00348	0.14015	0.14559	0.14198	0.14255	0.14099
chr1	16850688	16850702	+	8.51579	0.00698	0.00682	0.01481	0.01089	0.02068
chr1	17028713	17028727	-	9.03443	0.07887	0.0514	0.03238	0.042	0.03756
chr1	17045893	17045907	-	7.9835	0.10202	0.07558	0.05882	0.08541	0.07811
chr1	17501782	17501796	+	7.64308	0.02573	0.04202	0.01777	0.02521	0.01462
chr1	17513633	17513647	-	7.85782	0.01366	0.06033	0.00875	0.01592	0.01325
chr1	17903501	17903515	+	7.69964	0.04419	0.01759	0.07627	0.02271	0.0362
chr1	17948222	17948236	-	8.94664	0.0167	0.01912	0.01912	0.01109	0.03291
chr1	19090700	19090714	+	8.25215	0.00988	0.01045	0.00933	0.01055	0.02094
chr1	19260694	19260708	-	8.15524	0.07178	0.05804	0.03826	0.03892	0.0375
chr1	19581203	19581217	+	9.99124	0.02035	0.01891	0.01918	0.01562	0.01724
chr1	19952051	19952065	+	9.69329	0.01814	0.00613	0.03804	0.02092	0.0163
chr1	20851968	20851982	-	8.94664	0.03757	0.05992	0.03136	0.03914	0.03963
chr1	20896386	20896400	-	9.87211	0.09018	0.01189	0.04504	0.06886	0.05985
chr1	21517042	21517056	-	8.01315	0.02251	0.03909	0.02178	0.02877	0.05862
chr1	21614527	21614541	-	8.77446	0.02542	0.03356	0.02834	0.02807	0.02686
chr1	22055006	22055020	+	8.94664	0.07213	0.04057	0.06987	0.07314	0.06583
chr1	22237698	22237712	-	9.06577	0.01326	0.06206	0.0363	0.01873	0.01886
chr1	22632597	22632611	+	7.76427	0.03907	0.02299	0.01949	0.02678	0.01621
chr1	22734456	22734470	-	7.76664	0.01065	0.01256	0.01082	0.01351	0.01573
chr1	23412350	23412364	-	8.94664	0.04455	0.02296	0.02552	0.02648	0.02575
chr1	24369485	24369499	-	8.20315	0.01739	0.13488	0.01359	0.02114	0.03232
chr1	24414096	24414110	+	8.94664	0.15062	0.23701	0.12067	0.17134	0.15547
chr1	24902269	24902283	+	7.72151	0.02444	0.02193	0.02199	0.0228	0.01731
chr1	25919219	25919233	-	8.27418	0.01632	0.01821	0.01873	0.01497	0.0173
chr1	26003460	26003474	-	8.64785	0.02484	0.03169	0.02112	0.01431	0.03702
chr1	26006531	26006545	-	9.06577	0.03651	0.01553	0.02179	0.02161	0.05143
chr1	26021867	26021881	+	8.23384	0.05982	0.03388	0.03419	0.04153	0.0378
chr1	26342452	26342466	+	9.87211	0.01432	0.01147	0.00962	0.00846	0.01997
chr1	27065120	27065134	+	7.67553	0.01936	0.06375	0.01467	0.02109	0.03907
chr1	27091133	27091147	-	7.62776	0.01972	0.01376	0.01274	0.01756	0.06834
chr1	27161921	27161935	+	9.93666	0.05965	0.15069	0.1287	0.07558	0.11756
chr1	27781096	27781110	+	8.89206	0.02105	0.01619	0.02203	0.02003	0.02335
chr1	28396711	28396725	+	9.06577	0.01817	0.00827	0.00917	0.02373	0.01326
chr1	28410158	28410172	-	7.94161	0.05217	0.04444	0.049	0.05087	0.0564
chr1	28482889	28482903	-	8.86539	0.01494	0.06239	0.05597	0.0195	0.02023
chr1	30798531	30798545	+	8.55201	0.19287	0.03837	0.10784	0.12756	0.12033
chr1	30799437	30799451	+	8.34049	0.11276	0.0192	0.05855	0.05674	0.06915
chr1	31109882	31109896	+	9.87211	0.02116	0.02736	0.02196	0.0288	0.01756
chr1	31111395	31111409	-	10.62737	0.15004	0.27302	0.12255	0.18583	0.17545
chr1	31111420	31111434	-	9.7019	0.15072	0.27457	0.12394	0.18663	0.18577
chr1	31272435	31272449	-	8.52575	0.01557	0.00657	0.01099	0.02217	0.00958
chr1	31397125	31397139	+	7.85903	0.02207	0.0257	0.0312	0.02211	0.0268
chr1	31847092	31847106	+	9.79167	0.03264	0.00741	0.01349	0.02903	0.01695
chr1	32020930	32020944	+	8.49494	0.01556	0.01862	0.01502	0.02438	0.01255
chr1	32178490	32178504	-	8.29375	0.05042	0.05188	0.08757	0.0652	0.0406
chr1	32687622	32687636	-	8.94664	0.05263	0.04594	0.06342	0.05596	0.0502
chr1	33220793	33220807	+	7.79573	0.02492	0.02927	0.03103	0.01977	0.02548
chr1	34022884	34022898	+	8.94664	0.01414	0.02689	0.01539	0.01411	0.0177
chr1	35162977	35162991	+	8.30123	0.01951	0.01416	0.01623	0.01249	0.01415
chr1	35355086	35355100	+	8.94664	0.02894	0.03897	0.03568	0.04628	0.0149
chr1	35448695	35448709	+	8.86292	0.08168	0.11882	0.05966	0.08	0.10054
chr1	35497749	35497763	-	10.42758	0.06918	0.28198	0.02414	0.03615	0.14576
chr1	35653935	35653949	+	7.94161	0.01032	0.00712	0.00964	0.00805	0.00642
chr1	36027925	36027939	-	8.95446	0.0157	0.03072	0.03266	0.02798	0.02111
chr1	36200134	36200148	-	8.43213	0.09687	0.09887	0.0926	0.10525	0.15535
chr1	36218342	36218356	-	9.53314	0.03824	0.03166	0.04238	0.05172	0.02902
chr1	36249244	36249258	+	7.62552	0.07461	0.09272	0.07122	0.08223	0.04502
chr1	36408038	36408052	-	8.94664	0.0651	0.0207	0.04674	0.06273	0.05081
chr1	36517157	36517171	+	7.97635	0.04521	0.04239	0.03309	0.03765	0.05802
chr1	37038925	37038939	-	8.55049	0.50989	0.06451	0.29588	0.40503	0.40807
chr1	38138532	38138546	-	9.30795	0.04576	0.06918	0.052	0.03972	0.07708
chr1	39011673	39011687	+	8.94664	0.01637	0.0183	0.01291	0.01616	0.0292
chr1	39064903	39064917	-	9.17722	0.02442	0.09065	0.06264	0.04773	0.04415
chr1	39246799	39246813	+	8.73026	0.03161	0.01379	0.0367	0.0319	0.03003
chr1	39508911	39508925	-	8.57139	0.01975	0.02344	0.01926	0.01675	0.02346
chr1	39853449	39853463	+	8.89206	0.04677	0.03096	0.05033	0.03479	0.06042
chr1	39970084	39970098	+	8.94664	0.02512	0.03029	0.03862	0.02771	0.02808
chr1	40108041	40108055	+	8.94664	0.04709	0.12279	0.08022	0.04908	0.05039
chr1	40813800	40813814	+	8.94664	0.01236	0.02514	0.01219	0.0163	0.01917
chr1	40930920	40930934	+	8.48344	0.06848	0.05847	0.05135	0.05116	0.04608
