TFBS_chr	TFBS_start	TFBS_end	TFBS_strand	TFBS_score	98JKPD8_LumA_score	ANAB5F7_Basal_score	S6R691V_Her2_score	PU24GB8_LumB_score	2GAMBDQ_Normal-like_score
chr1	905473	905483	+	8.4555	0.1026	0.12218	0.13921	0.12024	0.14062
chr1	925405	925415	-	10.45388	0.0954	0.0367	0.09011	0.05082	0.05586
chr1	1020750	1020760	-	6.16981	0.09749	0.0908	0.07864	0.1088	0.08458
chr1	1130413	1130423	-	9.4498	0.11471	0.04786	0.11338	0.14384	0.15151
chr1	1225277	1225287	-	6.305	0.01792	0.04624	0.02729	0.01957	0.02657
chr1	3432506	3432516	-	6.48359	0.01692	0.0108	0.01554	0.01829	0.01123
chr1	3900825	3900835	-	10.14009	1.95879	1.73899	1.61461	1.97913	1.76533
chr1	3948502	3948512	-	6.99529	0.01898	0.0138	0.02026	0.01277	0.026
chr1	5274704	5274714	+	7.68292	0.01264	0.00947	0.00594	0.00814	0.01453
chr1	5708243	5708253	-	8.67722	0.01594	0.00515	0.0083	0.00762	0.01454
chr1	6334341	6334351	+	8.67564	0.00972	0.01889	0.01266	0.01487	0.01512
chr1	8598018	8598028	-	8.54203	0.02029	0.01549	0.01918	0.01824	0.01898
chr1	8679919	8679929	+	7.76945	0.04468	0.02442	0.05031	0.04369	0.02402
chr1	9244636	9244646	-	7.76945	0.09985	0.13292	0.08227	0.06936	0.08431
chr1	9835566	9835576	+	8.08324	0.04317	0.04989	0.0498	0.02992	0.02577
chr1	9891146	9891156	-	8.08166	0.02325	0.036	0.03899	0.02671	0.05067
chr1	10398702	10398712	+	10.14009	0.44872	0.42967	0.3764	0.38534	0.34338
chr1	11779123	11779133	-	7.07758	0.02233	0.01318	0.01783	0.01388	0.01902
chr1	12191748	12191758	-	9.4498	0.02481	0.03351	0.02492	0.0187	0.02461
chr1	14466185	14466195	+	8.08166	0.19151	0.21491	0.18273	0.23769	0.22892
chr1	15049094	15049104	-	6.16981	0.01434	0.01053	0.01715	0.01352	0.01517
chr1	15703878	15703888	-	6.48359	0.07822	0.09903	0.06698	0.07865	0.14465
chr1	16206502	16206512	+	8.4555	0.55677	0.75599	0.65298	0.85101	0.78628
chr1	16872886	16872896	+	6.16981	0.07371	0.04799	0.06411	0.07453	0.0886
chr1	17192551	17192561	-	7.76945	0.0117	0.03456	0.03973	0.01866	0.02057
chr1	17298422	17298432	-	7.07758	0.0609	0.05022	0.05401	0.03176	0.03317
chr1	17447667	17447677	-	6.08328	0.01991	0.01444	0.0156	0.02862	0.01941
chr1	18845954	18845964	+	7.90306	0.01583	0.00817	0.00797	0.01184	0.01888
chr1	19596561	19596571	-	6.90876	0.20281	0.12082	0.10496	0.14494	0.17601
chr1	19645381	19645391	+	8.54203	0.11616	0.11652	0.07518	0.08841	0.13491
chr1	20111268	20111278	+	8.54203	0.0196	0.0194	0.00959	0.01908	0.01456
chr1	20589092	20589102	-	8.67722	0.02111	0.07288	0.03502	0.02704	0.0306
